date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:36	181832/181832	---M-Z	200	added ('OK')	text/html	etag:W/%222c648-gzll7xaiUwGgooM8oQ4EMv0JJRY%22	https://markets.businessinsider.com/indices	/tmp/cse.lk/202407311404/markets.businessinsider.com/indices.html	(from )
14:04:36	222/222	---M-Z	200	added ('OK')	text/plain	etag:W/%22226-eoE5ggqfvuPfPu4rEQETueCU+MI%22	https://markets.businessinsider.com/robots.txt		(from )
14:04:37	363/363	---M-Z	200	added ('OK')	text/xml	etag:W/%2216b-eRaUQTYHdpMAjcbBBQQ8b8fK5kA%22	https://markets.businessinsider.com/opensearch.xml	/tmp/cse.lk/202407311404/markets.businessinsider.com/opensearch.xml	(from https://markets.businessinsider.com/indices)
14:04:38	7757/7757	---M--	200	added ('OK')	image/png	etag:W/%221e4d-dJsfXrdNdSRqsajUTy3TAf8LtpY%22	https://markets.businessinsider.com/apple-touch-icon.png	/tmp/cse.lk/202407311404/markets.businessinsider.com/apple-touch-icon.png	(from https://markets.businessinsider.com/indices)
14:04:39	1862/1862	---M--	200	added ('OK')	image/png	etag:W/%22746-5XzwW0RYg/SsROVAlgG39l9HjoU%22	https://markets.businessinsider.com/favicon-32x32.png	/tmp/cse.lk/202407311404/markets.businessinsider.com/favicon-32x32.png	(from https://markets.businessinsider.com/indices)
14:04:40	1487/1487	---M--	200	added ('OK')	image/png	etag:W/%225cf-7dWEfytTkgSQUsK5yP+bJ8hPZr8%22	https://markets.businessinsider.com/favicon-16x16.png	/tmp/cse.lk/202407311404/markets.businessinsider.com/favicon-16x16.png	(from https://markets.businessinsider.com/indices)
14:04:41	158/158	---M-Z	200	added ('OK')	application/json	etag:W/%229e-JcEcWCMMNvXOJWN27rvPaipW5z8%22	https://markets.businessinsider.com/manifest.json	/tmp/cse.lk/202407311404/markets.businessinsider.com/manifest.json	(from https://markets.businessinsider.com/indices)
14:04:42	1128/1128	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22468-jDLEed1vkkyfFuxaFvOkoCApbyo%22	https://markets.businessinsider.com/safari-pinned-tab.svg	/tmp/cse.lk/202407311404/markets.businessinsider.com/safari-pinned-tab.svg	(from https://markets.businessinsider.com/indices)
14:04:44	15212/15212	---M--	200	added ('OK')	font/woff2	etag:W/%223b6c-eQXHvlS9HVgNZuYXm/qUNHjJaac%22	https://markets.businessinsider.com/Content/dist/fonts/LabGrotesqueBlack-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/LabGrotesqueBlack-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:45	14940/14940	---M--	200	added ('OK')	font/woff2	etag:W/%223a5c-IcYep4FPXPscOuf1TXdKxYZ2ILg%22	https://markets.businessinsider.com/Content/dist/fonts/LabGrotesqueBold-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/LabGrotesqueBold-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:46	15496/15496	---M--	200	added ('OK')	font/woff2	etag:W/%223c88-TQ62BLg1J4HtoD18iZ64B1Tyz2E%22	https://markets.businessinsider.com/Content/dist/fonts/LabGrotesqueRegular-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/LabGrotesqueRegular-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:46	40908/40908	---M--	200	added ('OK')	font/woff2	etag:W/%229fcc-/B1uEPI5GyD85isH/SNpBU0U2zY%22	https://markets.businessinsider.com/Content/dist/fonts/PTSans-Regular-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/PTSans-Regular-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:47	19908/19908	---M--	200	added ('OK')	font/woff2	etag:W/%224dc4-1YpzXln/ykQZP1OA+jNez9tBb3c%22	https://markets.businessinsider.com/Content/dist/fonts/TiemposText-Regular-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/TiemposText-Regular-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:48	20664/20664	---M--	200	added ('OK')	font/woff2	etag:W/%2250b8-8JLDiw8Qrz7MQ6qF3ytqT2OnZT8%22	https://markets.businessinsider.com/Content/dist/fonts/TiemposText-Bold-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/TiemposText-Bold-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:49	22572/22572	---M--	200	added ('OK')	font/woff2	etag:W/%22582c-tC1m6hVNu/ZEUFloFqj39TWWF4U%22	https://markets.businessinsider.com/Content/dist/fonts/TiemposText-BoldItalic-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/TiemposText-BoldItalic-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:50	21076/21076	---M--	200	added ('OK')	font/woff2	etag:W/%225254-kR4sRdT4vhG1NP+ekdv3NPPy0Jg%22	https://markets.businessinsider.com/Content/dist/fonts/TiemposText-Italic-Subset.woff2	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/TiemposText-Italic-Subset.woff2	(from https://markets.businessinsider.com/indices)
14:04:51	7876/7876	---M--	200	added ('OK')	font/woff2	etag:W/%221ec4-zYUBcSZ4EHLAtm9CuWjqVUr+r4o%22	https://markets.businessinsider.com/Content/dist/fonts/icon.woff2?v=1314208403	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/fonts/iconc2fd.woff2	(from https://markets.businessinsider.com/indices)
14:04:52	3401/3401	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22d49-2AwJNkRHql0JLU8lYmmSsUzFiiE%22	https://markets.businessinsider.com/Content/dist/images/business-insider-logo.svg	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/images/business-insider-logo.svg	(from https://markets.businessinsider.com/indices)
14:04:53	3252/3252	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22cb4-vn5llM6CFInMbCmbvp23zZP38LE%22	https://markets.businessinsider.com/Content/dist/images/insider-intelligence-logo.svg	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/images/insider-intelligence-logo.svg	(from https://markets.businessinsider.com/indices)
14:04:54	1341/1341	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2253d-kT41X7X4Vr13B7kCaijls3pcXiM%22	https://markets.businessinsider.com/Content/dist/images/insider-logo.svg	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/images/insider-logo.svg	(from https://markets.businessinsider.com/indices)
14:04:55	2597/2597	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22a25-UzhQJ2voXsLASdLotA/XAFnl/wc%22	https://markets.businessinsider.com/Content/dist/images/markets-insider-logo.svg	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/images/markets-insider-logo.svg	(from https://markets.businessinsider.com/indices)
14:04:56	766929/766929	---M-Z	200	added ('OK')	text/css	etag:W/%22bb3d1-eEK0dO553hG7kwEjvr/p74V2pJk%22	https://markets.businessinsider.com/Content/dist/styles.css?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/stylesb4b1.css	(from https://markets.businessinsider.com/indices)
14:04:57	12296/12296	---M-Z	200	added ('OK')	text/css	etag:W/%223008-+scSMZXobZemtNVTwbQDBOfD65U%22	https://markets.businessinsider.com/cache/css/chartiq/stx-chart.css?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/cache/css/chartiq/stx-chartb4b1.css	(from https://markets.businessinsider.com/indices)
14:04:58	182411/182411	---M-Z	200	added ('OK')	text/css	etag:W/%226f72-sXmIZ2nNSViUk1414OstQ9FU43U%22	https://markets.businessinsider.com/styles/markets-insider-shared-components.07bb9f08134712b477df.css	/tmp/cse.lk/202407311404/markets.businessinsider.com/styles/markets-insider-shared-components.07bb9f08134712b477df.css	(from https://markets.businessinsider.com/indices)
14:04:59	95958/95958	---M-Z	200	added ('OK')	text/javascript	etag:W/%22176d6-fZ7wgVgXiqClqqjDiz8mQc4lW4E%22	https://markets.businessinsider.com/Content/Scripts/jquery-1.11.3.min.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/Scripts/jquery-1.11.3.minb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:00	5023/5023	---M-Z	200	added ('OK')	text/javascript	etag:W/%22139f-ZeWIL3OrAuCPjzPQTU1C2brYlvg%22	https://markets.businessinsider.com/Content/Scripts/jquery.lazy-master/jquery.lazy.min.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/Scripts/jquery.lazy-master/jquery.lazy.minb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:01	36330/36330	---M-Z	200	added ('OK')	text/javascript	etag:W/%228dea-ZBbHzzZ10CXQ4lUPclLpPGcjf9o%22	https://markets.businessinsider.com/Content/Scripts/jquery-ui.min.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/Scripts/jquery-ui.minb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:02	7049/7049	---M-Z	200	added ('OK')	text/javascript	etag:W/%221b89-bKq7jY8qfvzL7UjzjyJlIkirdm8%22	https://markets.businessinsider.com/Content/Scripts/jquery.color.min.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/Scripts/jquery.color.minb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:03	1955/1955	---M-Z	200	added ('OK')	text/javascript	etag:W/%227a3-kp0QCXKR7Ee/QLfW1z1EH+UBJTA%22	https://markets.businessinsider.com/Content/Scripts/MDSnG/Config.min.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/Scripts/MDSnG/Config.minb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:04	181851/181851	---M-Z	200	added ('OK')	text/javascript	etag:W/%222c65b-/Nd6EieiZ7nW+d3yJLn2cjoUfD0%22	https://markets.businessinsider.com/Content/Scripts/MDSnG/min/clientApi.min.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/Scripts/MDSnG/min/clientApi.minb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:06	2100372/2100372	---M-Z	200	added ('OK')	text/javascript	etag:W/%22200c94-eFEQlq8DQoO4TghTVYglloNkFJE%22	https://markets.businessinsider.com/Content/dist/scripts.js?v=202407311604	/tmp/cse.lk/202407311404/markets.businessinsider.com/Content/dist/scriptsb4b1.js	(from https://markets.businessinsider.com/indices)
14:05:06	227306/227306	---M-Z	200	added ('OK')	text/html	etag:W/%22377ea-AnbWIKaVWSHg9Bbws1Lhi3chs7M%22	https://markets.businessinsider.com/	/tmp/cse.lk/202407311404/markets.businessinsider.com/index.html	(from https://markets.businessinsider.com/indices)
14:05:06	14623/14623	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202024%2014:05:06%20GMT	https://markets.businessinsider.com/mymarkets	/tmp/cse.lk/202407311404/markets.businessinsider.com/mymarkets.html	(from https://markets.businessinsider.com/indices)
14:05:07	153237/153237	---M-Z	200	added ('OK')	text/html	etag:W/%2225695-8I1ZBBXm2jghl+evrKSDM0Oqo0w%22	https://markets.businessinsider.com/stocks	/tmp/cse.lk/202407311404/markets.businessinsider.com/stocks.html	(from https://markets.businessinsider.com/indices)
