date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:30	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%2266a8635c-58%22	https://cse.lk/robots.txt		(from )
14:50:31	10615/10615	---MCZ	200	added ('OK')	text/html	etag:W/%2266a8635d-2977%22	https://cse.lk/	/tmp/cse.lk/202407311450/cse.lk/index.html	(from )
14:50:32	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:31%20GMT	http://cse.lk/assets/images/favicon-cse.ico	/tmp/cse.lk/202407311450/cse.lk/assets/images/favicon-cse.0.delayed	(from https://cse.lk/)
14:50:32	0/-1	---M--	301	error ('')			http://cse.lk/assets/images/favicon-cse.ico	/tmp/cse.lk/202407311450/cse.lk/assets/images/favicon-cse.1.delayed	(from https://cse.lk/)
14:50:32	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:32%20GMT	http://cse.lk/manifest.webmanifest	/tmp/cse.lk/202407311450/cse.lk/manifest.webmanifest	(from https://cse.lk/)
14:50:33	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:33%20GMT	http://cse.lk/assets/dflip/css/dflip.css	/tmp/cse.lk/202407311450/cse.lk/assets/dflip/css/dflip.css	(from https://cse.lk/)
14:50:34	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:34%20GMT	http://cse.lk/assets/dflip/css/themify-icons.css	/tmp/cse.lk/202407311450/cse.lk/assets/dflip/css/themify-icons.css	(from https://cse.lk/)
14:50:35	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:35%20GMT	http://cse.lk/styles.16ebe4b59d96a5966faa.css	/tmp/cse.lk/202407311450/cse.lk/styles.16ebe4b59d96a5966faa.css	(from https://cse.lk/)
14:50:36	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:36%20GMT	http://cse.lk/assets/dflip/js/dflip.min.js	/tmp/cse.lk/202407311450/cse.lk/assets/dflip/js/dflip.min.js	(from https://cse.lk/)
14:50:37	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:37%20GMT	http://cse.lk/pages/ebook/ebook.component.html?topic=	/tmp/cse.lk/202407311450/cse.lk/pages/ebook/ebook.component5a9e.html	(from https://cse.lk/)
14:50:38	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:38%20GMT	http://cse.lk/runtime.c993632c0e5f98dac378.js	/tmp/cse.lk/202407311450/cse.lk/runtime.c993632c0e5f98dac378.js	(from https://cse.lk/)
14:50:39	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:39%20GMT	http://cse.lk/polyfills-es5.26c7e2ce3c8db04267f9.js	/tmp/cse.lk/202407311450/cse.lk/polyfills-es5.26c7e2ce3c8db04267f9.js	(from https://cse.lk/)
14:50:40	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:40%20GMT	http://cse.lk/polyfills.4e3216da8ea0b642b681.js	/tmp/cse.lk/202407311450/cse.lk/polyfills.4e3216da8ea0b642b681.js	(from https://cse.lk/)
14:50:41	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:41%20GMT	http://cse.lk/scripts.78b7621923ff88e7244f.js	/tmp/cse.lk/202407311450/cse.lk/scripts.78b7621923ff88e7244f.js	(from https://cse.lk/)
14:50:42	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:42%20GMT	http://cse.lk/vendor.4e9e7aa9296e8a70f03e.js	/tmp/cse.lk/202407311450/cse.lk/vendor.4e9e7aa9296e8a70f03e.js	(from https://cse.lk/)
14:50:43	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20Jul%202024%2014:50:43%20GMT	http://cse.lk/main.45a2aaf3b98ea8b4115f.js	/tmp/cse.lk/202407311450/cse.lk/main.45a2aaf3b98ea8b4115f.js	(from https://cse.lk/)
